name,desc,answer
reapeaks,统一管理波形文件,https://zhuanlan.zhihu.com/p/32447322
导入视频,让 REAPER 支持更多视频格式,"https://zhuanlan.zhihu.com/p/31274984
https://www.soundengine.cn/topic/24/%E8%AE%A9reaper%E6%94%AF%E6%8C%81%E6%9B%B4%E5%A4%9A%E8%A7%86%E9%A2%91%E6%A0%BC%E5%BC%8F-%E7%A7%BB%E5%8A%A8%E4%BE%BF%E6%90%BA%E7%89%88%E7%AF%87"
midi键盘,在 REAPER 设置 midi 键盘,https://zhuanlan.zhihu.com/p/64069221
信号流程,REAPER 的信号流程图,"[CQ:image,file=reaper_signal-flow.jpg]"
自动淡入淡出,怎样关闭自动淡入淡出,"[CQ:image,file=auto_fade_in_out.png]"
导出MP4,REAPER 如何导出 MP4,"在Format下拉列表里选择ffmpeg格式，在File name栏目后面写上.mp4
此方法仅当版本号大于6.09时有效
[CQ:image,file=export_mp4.png]"
批量淡入淡出,同时调整多个item的淡入淡出,"[CQ:image,file=items_fades.png]"
timebase,如何防止调整tempo时工程里的item移位,"按Alt+Enter打开Project Settings窗口，并按下图设置Timebase
[CQ:image,file=timebase.png]"
打开出错,工程打开出错如何解决,"一般由插件出错导致，解决方法如下
File--Open project，在打开工程窗口下方勾选 Open with FX offline(recovery mode)，然后再打开
[CQ:image,file=fx_offline.png]
之后工程将会以插件离线的模式打开，接下来可以通过逐一把插件取消Offline，来排查有问题的插件"
视频跟随,如何实现视频画面跟随拖动位置而变化,"从设置窗口以下位置开启，并可以设置变化的基准点，分别为
鼠标位置
item的左边缘
item的对起点
[CQ:image,file=video_follow.png]"
分离音频,如何把视频中的音频分离出来,"[CQ:image,file=video_audio.png]"
快捷键,如何查找修改快捷键,"菜单栏找下图菜单，默认快捷键是 Shift + /
[CQ:image,file=why_not_actionlist.jpg]"
sws测速,用sws扩展来建立变速音频tempo map,"需要提前安装sws扩展。
对下面命令定义快捷键：
SWS/BR: Move closest grid line to mouse cursor (perform until shortcut released)
按住快捷键的时候，移动鼠标，即可移动gird，让tempo改变。
松开快捷键，即停止。
[CQ:image,file=Warp_grid_mouse_sws.gif]"
保持光标,如何让光标在停止播放时保持位置,"1.按Shift+/ 打开action list界面
2.查找 Transport: Play/pause
3.点击左下角的Add按钮，把他的快捷键设成空格，代替原来的Play/stop"
音频变速,如何改变音频的速度,"[CQ:image,file=item_playrate.gif]
[CQ:image,file=stretch_modifier.png]
按下如上图跟Stretch item对应的功能键，拖拽item的边缘"
缩放波形,如何保持音量不变仅缩放波形大小,"1.按Shift+/ 打开action list界面
2.查找 Increase peaks view gain 或 Decrease peaks view gain"
重采样,如何实现类似Cubase里的重采样效果,"选中要重采样的item，按F2打开item属性设置，把preserve pitch选项取消
[CQ:image,file=no_preserve_pitch.png]
之后对item进行变速，即可得到重采样的效果
[CQ:image,file=item_playrate.gif]"
移动region,如何同时移动多个region及其内容,"1.在region前放一个任意item（audio/midi/empty）
2.打开ripple all track模式(action list搜Set ripple editing all tracks)
3.拖动这个item
4.完成后记得关闭ripple模式(action list搜Set ripple editing off)
[CQ:image,file=move_region.gif]"
重置,如何重置Reaper回到默认状态,"Portable版：
找到Reaper的安装文件夹，删掉reaper.ini，下载安装包，覆盖安装回原来位置
安装版：
开始菜单找到以下项目点击即可
[CQ:image,file=reset_settings.png]"
拖放,如何拖放item到采样器/其他DAW/其他软件,"首先要在鼠标修饰建设置里设置好以下的拖放动作
[CQ:image,file=drag_to_others.png]
红框里两个动作的区别是
第一个直接以item当前的状态生成一个新的文件，然后拖放到采样器或其他DAW里
第二个是把item的原始文件拖放过去，当前所有的修改均不会保留
第一个动作在大部分情况都是有效的，但对AU无效，必须用第二个动作
所以一般先用第一个动作，失败的话再尝试第二个"
添加脚本,如何使用网上下载得到的脚本,"1.按Shift+/ 打开action list界面
2.点击下方的New action按钮，点击Load Reascript
3.定位到下载得到的脚本文件，点击打开按钮
4.之后脚本就会被添加到action list中，可以和别的action一样使用和设置快捷键
PS：脚本文件建议统一放在REAPER安装文件夹里的Scripts文件夹，方便管理"
光标跟随,如何设置/取消播放时光标自动跟随,右击导航栏，或单击Options菜单，勾选/取消 Automatically scroll view during playback
屏蔽Alt,如何防止按下Alt键后焦点移到菜单栏,"在使用了一些含有Alt键的快捷键组合后，焦点会转移到菜单栏上，影响使用。可以通过以下选项屏蔽掉
[CQ:image,file=prevent_alt.png]"
全局快捷键,如何设置全局快捷键,"打开action list
[CQ:image,file=global_shortcut.png]"
item间隔,设置item间隔、位置,"1. 需要有安装sws扩展
2. action list搜索Reposition selected items"
拖不进文件,如何解决文件拖不进REAPER,"右击REAPER的快捷方式，点击属性、兼容性，取消 以管理员身份运行此程序，确定
[CQ:image,file=admin_mode.png]
然后重启REAPER"
H264,如何让导出H264编码的视频(仅限Windows系统),"打开群文件-扩展 REAPER JS脚本文件夹-下载ffmpeg shared.zip文件
点开REAPER Option菜单-Show REAPER resource path in explorer
打开userplugins文件夹
把刚刚下载的zip文件里面所有内容解压到userplugins文件夹里
重启reaper，将会在导出窗口里找到H264编码
[CQ:image,file=H264.png]"
